ID,Agree_IN,ASQ1,ASQ1A,ASQ1B,ASQ1C,ASQ2A,ASQ2AC,SQ1,SQ2,SQ3,SQ4,SQ5,SQ5A,SQ5AA,AQ1,ATQ1_7,AQ1A,AQ1B,Q1,Q1A,RQ1A,Q1B_1,Q1B_2,Q1B_3,Q1B_4,Q1B_5,Q1B_6,Q1B_7,Q1B_8,TQ1B_8,Q2,RQ2,Q3,RQ3,Q4,Q5,Q5A,Q6,Q6A,Q7,RQ7,Q7A_1_1,Q7A_1_2,Q7A_1_3,Q7A_1_4,TQ7A_1_4,Q7A_1_5,Q7A_2_1,Q7A_2_2,Q7A_2_3,Q7A_2_4,TQ7A_2_4,Q7A_2_5,Q7A_3_1,Q7A_3_2,Q7A_3_3,Q7A_3_4,TQ7A_3_4,Q7A_3_5,Q7A_4_1,Q7A_4_2,Q7A_4_3,Q7A_4_4,TQ7A_4_4,Q7A_4_5,Q7A_5_1,Q7A_5_2,Q7A_5_3,Q7A_5_4,TQ7A_5_4,Q7A_5_5,Q7A_6_1,Q7A_6_2,Q7A_6_3,Q7A_6_4,TQ7A_6_4,Q7A_6_5,Q7A_7_1,Q7A_7_2,Q7A_7_3,Q7A_7_4,TQ7A_7_4,Q7A_7_5,Q7A_8_1,Q7A_8_2,Q7A_8_3,Q7A_8_4,TQ7A_8_4,Q7A_8_5,Q7A_9_1,Q7A_9_2,Q7A_9_3,Q7A_9_4,TQ7A_9_4,Q7A_9_5,Q7A_10_1,Q7A_10_2,Q7A_10_3,Q7A_10_4,TQ7A_10_4,Q7A_10_5,Q7A_11_1,Q7A_11_2,Q7A_11_3,Q7A_11_4,TQ7A_11_4,Q7A_11_5,Q7A_12_1,Q7A_12_2,Q7A_12_3,Q7A_12_4,TQ7A_12_4,Q7A_12_5,Q7A_13_1,Q7A_13_2,Q7A_13_3,Q7A_13_4,TQ7A_13_4,Q7A_13_5,Q7A_14_1,Q7A_14_2,Q7A_14_3,Q7A_14_4,TQ7A_14_4,Q7A_14_5,Q7A_15_1,Q7A_15_2,Q7A_15_3,Q7A_15_4,TQ7A_15_4,Q7A_15_5,Q7A_16_1,Q7A_16_2,Q7A_16_3,Q7A_16_4,TQ7A_16_4,Q7A_16_5,Q7A_17_1,Q7A_17_2,Q7A_17_3,Q7A_17_4,TQ7A_17_4,Q7A_17_5,Q7A_18_1,Q7A_18_2,Q7A_18_3,Q7A_18_4,TQ7A_18_4,Q7A_18_5,Q7A_19_1,Q7A_19_2,Q7A_19_3,Q7A_19_4,TQ7A_19_4,Q7A_19_5,Q7A_20_1,Q7A_20_2,Q7A_20_3,Q7A_20_4,TQ7A_20_4,Q7A_20_5,Q7A_21_1,Q7A_21_2,Q7A_21_3,Q7A_21_4,TQ7A_21_4,Q7A_21_5,Q7A_22_1,Q7A_22_2,Q7A_22_3,Q7A_22_4,TQ7A_22_4,Q7A_22_5,Q7A_23_1,Q7A_23_2,Q7A_23_3,Q7A_23_4,TQ7A_23_4,Q7A_23_5,Q7A_24_1,Q7A_24_2,Q7A_24_3,Q7A_24_4,TQ7A_24_4,Q7A_24_5,Q7A_25_1,Q7A_25_2,Q7A_25_3,Q7A_25_4,TQ7A_25_4,Q7A_25_5,Q7A_26_1,Q7A_26_2,Q7A_26_3,Q7A_26_4,TQ7A_26_4,Q7A_26_5,Q7A_27_1,Q7A_27_2,Q7A_27_3,Q7A_27_4,TQ7A_27_4,Q7A_27_5,Q7A_28_1,Q7A_28_2,Q7A_28_3,Q7A_28_4,TQ7A_28_4,Q7A_28_5,Q7A_29_1,Q7A_29_2,Q7A_29_3,Q7A_29_4,TQ7A_29_4,Q7A_29_5,Q7A_30_1,Q7A_30_2,Q7A_30_3,Q7A_30_4,TQ7A_30_4,Q7A_30_5,Q7A_31_1,Q7A_31_2,Q7A_31_3,Q7A_31_4,TQ7A_31_4,Q7A_31_5,Q7A_32_1,Q7A_32_2,Q7A_32_3,Q7A_32_4,TQ7A_32_4,Q7A_32_5,Q7A_33_1,Q7A_33_2,Q7A_33_3,Q7A_33_4,TQ7A_33_4,Q7A_33_5,Q7A_34_1,Q7A_34_2,Q7A_34_3,Q7A_34_4,TQ7A_34_4,Q7A_34_5,Q7A_35_1,Q7A_35_2,Q7A_35_3,Q7A_35_4,TQ7A_35_4,Q7A_35_5,Q7A_36_1,Q7A_36_2,Q7A_36_3,Q7A_36_4,TQ7A_36_4,Q7A_36_5,Q7A_37_1,Q7A_37_2,Q7A_37_3,Q7A_37_4,TQ7A_37_4,Q7A_37_5,Q7A_38_1,Q7A_38_2,Q7A_38_3,Q7A_38_4,TQ7A_38_4,Q7A_38_5,Q7A_39_1,Q7A_39_2,Q7A_39_3,Q7A_39_4,TQ7A_39_4,Q7A_39_5,Q7A_40_1,Q7A_40_2,Q7A_40_3,Q7A_40_4,TQ7A_40_4,Q7A_40_5,DQ1,DQ2,TDQ2_10,DQ3,DQ3A,DQ4,DQ4A_1,DQ4A_2,DQ4A_3,DQ4A_4,DQ4A_5,DQ4A_6,DQ4A_7,TDQ4A_7,DQ5,TDQ5_11,DQ6,TDQ6_11,D_SQ1,D_SQ2,D_SQ3,D_SQ4,D_SQ5AA,D_DQ1,D_DQ2,D_DQ3,D_DQ3A,D_DQ4,D_DQ5,D_DQ6,WT
74,Y,,,,,,,2,28,9,2,2022-02-21 오후 2:21:46,7,2,,,,,1,11,5,,2,,,,,,,,3,3,2,2,1,1,1,1,3,5,4,7,1,2,2,,2,7,2,2,2,,2,6,2,3,2,,2,6,1,3,2,,2,10,2,5,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,4,,,3,,,6,,,9,,11,250000000,2,6,2,2,2,1,2,3,2,4,4,4,1.24
75,Y,,,,,,,1,42,9,2,2022-02-22 오후 6:07:47,1,5,,,,,1,5,3,,2,,,,,,,,1,1,1,1,3,1,3,3,3,3,3,7,1,3,2,,2,8,1,3,2,,2,8,2,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,5,1,2,3,,,,,,7,,8,,1,8,2,2,1,1,1,3,1,5,4,4,1.18
76,Y,,,,,,,2,56,9,2,2022-02-21 오후 2:24:42,7,2,,,,,1,5,3,,2,,,,,,,,3,3,3,3,3,1,1,1,2,2,2,10,1,5,1,,1,7,1,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,아이돌봄,4,2,1,,,,,,,,,9,,9,,2,9,2,2,2,2,5,3,2,1,4,4,1.23
77,Y,,,,,,,1,46,1,1,2022-02-21 오후 2:07:47,7,2,,,,,1,6,4,,2,,,,,,,,3,3,2,2,5,2,5,2,3,3,3,8,2,3,8,,2,7,2,2,3,,2,6,2,1,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,1,3,1,2,,,,,,,10,,11,120000000,1,8,1,1,2,1,1,3,1,3,4,4,1.15
78,Y,,,,,,,1,38,9,2,2022-02-21 오후 2:07:09,7,2,,,,,1,18,6,,2,,,,,,,,3,3,0,0,4,3,2,3,4,3,3,7,1,2,9,,2,7,1,2,9,,2,7,1,2,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,1,4,,,3,,,6,,,10,,11,120000000,1,7,2,2,2,1,2,3,1,4,4,4,1.13
79,Y,,,,,,,1,50,9,3,2022-02-21 오후 3:03:51,7,2,,,,,1,6,4,,,,,,6,7,,,2,2,0,0,2,3,1,2,4,6,4,8,2,5,6,,1,11,2,5,1,,2,7,2,3,6,,2,6,2,2,6,,2,7,2,3,6,,2,7,1,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,2,2,,,3,,,,,,9,,10,,1,9,2,3,2,1,1,3,2,2,4,4,1.25
81,Y,,,,,,,1,50,6,1,2022-02-22 오후 12:42:15,1,5,,,,,1,10,5,,2,,,,,,,,1,1,1,1,2,2,1,1,4,3,3,9,1,3,5,,2,8,1,3,5,,2,8,1,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,1,,,,,,,,,3,,3,,1,9,3,1,1,1,2,3,2,1,2,2,1.24
82,Y,,,,,,,2,61,11,3,2022-02-21 오후 2:50:24,7,2,,,,,1,2,2,,2,,,,,,,,3,3,1,1,2,3,2,1,4,3,3,10,2,1,8,,2,10,2,1,8,,2,10,2,1,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,2,1,,,,,,,,6,,7,,2,10,3,3,2,3,,1,,2,3,4,1.29
83,Y,,,,,,,2,29,1,1,2022-02-21 오후 2:15:12,7,2,,,,,1,5,3,,2,,,,,,,,2,2,2,2,2,2,2,3,2,2,2,7,1,5,1,,1,9,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,3,1,2,,,,,,,7,,8,,2,6,1,1,2,1,2,3,2,3,4,4,1.22
84,Y,,,,,,,1,40,12,2,2022-02-22 오전 11:47:55,1,5,,,,,1,2,2,,,3,4,5,6,7,,,2,2,1,1,2,1,1,1,1,3,3,1,1,2,1,,1,2,1,2,1,,1,7,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,2,4,1,2,,,,,,,8,,10,,1,8,3,2,1,1,1,4,2,4,4,4,1.09
85,Y,,,,,,,1,45,9,2,2022-02-21 오후 3:08:59,7,2,,,,,1,2,2,,2,,,,,,,,2,2,0,0,2,1,1,2,2,2,2,8,2,5,1,,2,3,1,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,1,3,1,2,,,,,,,6,,7,,1,8,2,2,2,1,1,3,1,3,3,4,1.18
86,Y,,,,,,,2,45,4,1,2022-02-22 오전 8:45:12,1,5,,,,,1,10,5,,2,,,,,,,,1,1,1,1,2,1,2,2,1,1,1,11,2,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,2,2,,,3,,,,,,4,,5,,2,8,2,1,1,1,2,3,2,2,2,3,1.14
